HashFunction,Average,Count,Minimum,Maximum,percentile_Average_0,percentile_Average_1,percentile_Average_25,percentile_Average_50,percentile_Average_75,percentile_Average_99,percentile_Average_100
869,1,288,0.0,65.0,0,0,0,0,0,31,65
870,447,618,398.0,953.0,398,410,430,441,453,689,919
871,149,480,62.0,1145.0,62,78,125,140,160,287,1145
872,69,270,2.0,2011.0,3,6,10,14,45,582,1078
873,3388,121,15.0,8721.0,30,30,1896,3660,3660,6553,6553
874,2300,360,2066.0,21821.0,2066,2076,2134,2189,2271,3550,21821
875,17,169831,8.0,1969.0,10,12,15,16,18,38,310
876,91,1440,15.0,437.0,31,31,56,77,119,312,437
877,11,864,1.0,923.0,1,1,2,3,5,304,320
878,230,1440,15.0,3071.0,15,28,51,63,98,2059,3071
879,39,86,0.0,625.0,6,6,10,23,43,312,312
880,129542,5,59.0,304200.0,10524,10524,70831,70831,191325,304200,304200
881,16,288,3.0,26.0,3,3,13,18,19,24,26
882,225,172,72.0,3679.0,72,72,102,134,186,3602,3679
883,341,1,341.0,341.0,341,341,341,341,341,341,341
884,421,2,420.0,423.0,421,421,421,421,421,421,421
885,233,69,62.0,1296.0,72,72,140,186,304,859,859
886,221,8634,59.0,11388.0,77,85,119,222,274,602,2475
887,365,20,21.0,3315.0,141,141,215,230,276,1671,1671
888,80,624,10.0,2765.0,11,15,38,62,101,480,1398
889,200,18101,93.0,1500.0,114,124,154,213,224,327,562
890,344,345,4.0,2153.0,4,4,201,252,401,1547,2153
891,183,17129,0.0,7181.0,7,23,85,141,249,661,2263
892,86720,63,5146.0,237592.0,9594,9594,54133,81216,105909,200929,200929
893,177,720,31.0,14222.0,31,46,92,109,153,1693,14222
894,294,8,186.0,934.0,194,194,194,205,205,934,934
895,2921,210,124.0,19884.0,124,124,187,236,468,18431,19884
896,19,73,1.0,305.0,1,1,2,2,5,305,305
897,1,360,0.0,125.0,0,0,0,0,0,46,125
898,2194,280,20.0,38150.0,20,146,374,1171,3293,15543,38150
899,74976,246,0.0,153323.0,0,0,64791,88275,106571,128934,153323
900,15945,1438,15021.0,21555.0,15021,15177,15616,15856,16138,17778,21555
901,1,1439,0.0,72.0,0,0,0,0,0,6,36
902,56,11221,0.0,4036.0,1,7,16,22,33,996,3701
903,9756,252,0.0,136192.0,0,15,46,93,124,119321,136192
904,29,345,0.0,315.0,0,0,1,4,42,182,182
905,1093,1,1093.0,1093.0,1093,1093,1093,1093,1093,1093,1093
906,0,7173,0.0,52.0,0,0,0,0,0,10,21
